"timeFrom","timeTo","timeSpan","propSharedCellsNotNA","timeFromPropNotNA","timeToPropNotNA","mean","sum","quantile_quant0p05","quantile_quant0p95","prevalence","centroidVelocity","centroidLong","centroidLat","nsCentroidVelocity","nsCentroidLat","ewCentroidVelocity","ewCentroidLong","nsQuantVelocity_quant0p05","nsQuantLat_quant0p05","nsQuantVelocity_quant0p95","nsQuantLat_quant0p95"
-10110,-9120,990,0.472390572390572,0.472390572390572,0.472390572390572,0.794133300428123,4456.67608200263,0,1,0.822523164647185,84.1279638276063,580068.61963335,632099.442062778,83.5152255724424,632099.442062778,10.1351564054581,580068.61963335,17.5880988294335,-1013594.76838548,127.856145701223,2087266.60622765
-9120,-8130,990,0.467424242424242,0.467424242424242,0.467424242424242,0.911928544296809,5063.93920648018,0,1,0.934089681253377,205.400337212925,600878.654208364,838724.44145166,202.649035446801,838724.44145166,33.5062227006316,600878.654208364,43.2728252574064,-954754.19670119,430.580642208002,2511708.40156646
-8130,-7140,990,0.457828282828283,0.457828282828283,0.457828282828283,0.980383648705067,5332.30666530686,1,1,0.995035852178709,115.982929439773,622910.236211495,969936.316882164,107.33874399666,969936.316882164,43.9367040030405,622910.236211495,25.999856771659,-875320.072072826,155.04022474115,2677574.7249908
-7140,-6150,990,0.455387205387205,0.455387205387205,0.455387205387205,0.996636417543178,5391.80301890859,1,1,1,26.5211425886109,628460.002359018,1001830.75144681,24.2897808142401,1001830.75144681,10.6478895656182,628460.002359018,6.16792767527219,-854701.429530254,17.1135387124734,2696228.6355213
-6150,-5160,990,0.453956228956229,0.453956228956229,0.453956228956229,0.999543720507085,5390.53928469471,1,1,1,4.91014875448299,624721.546140496,1005636.86692557,4.03093916398562,1005636.86692557,2.80376358621723,624721.546140496,1.09677003963834,-854788.627191012,-0.877416031711236,2696298.39364991
-5160,-4170,990,0.451178451178451,0.451178451178451,0.451178451178451,0.999986945071567,5359.9300255836,1,1,1,0.749276897542515,614735.670897344,1007938.2441976,0.639985481790276,1007938.2441976,0.389659405492289,614735.670897344,0.166627395286394,-855520.666069678,-0.133301916229303,2697988.02475284
-4170,-3180,990,0.450589225589226,0.450589225589226,0.450589225589226,0.999986927999925,5352.9300255836,1,1,1,0,613211.218080465,1008722.81611507,0,1008722.81611507,0,613211.218080465,0,-854623.666069678,0,2698374.42475284
-3180,-2190,990,0.450589225589226,0.450589225589226,0.450589225589226,0.999986927999925,5352.9300255836,1,1,1,0,613211.218080465,1008722.81611507,0,1008722.81611507,0,613211.218080465,0,-854623.666069678,0,2698374.42475284
-2190,-1200,990,0.449410774410774,0.449410774410774,0.449410774410774,0.999986893722345,5338.9300255836,1,1,1,0,611050.650177107,1006069.41950248,0,1006069.41950248,0,611050.650177107,0,-855589.666069678,0,2691419.22475284
-1200,-210,990,0.449410774410774,0.449410774410774,0.449410774410774,0.999996975474348,5338.98385205754,1,1,1,0.0219251729010356,611030.187326691,1006076.65958306,0.00731321270401223,1006076.65958306,-0.0206695458751802,611030.187326691,0.00375154212345322,-855585.952042976,-0.00300123369829221,2691416.25353148
